molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41,active
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,300,active
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7820,active
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170,active
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40,active
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,440,inactive
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300,inactive
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000,inactive
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,3000000,inactive
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000,active
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310,inactive
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000,inactive
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125,inactive
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,1250000,inactive
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,625000,active
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000,inactive
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000,inactive
