molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL4225358,O=C(O)c1ccnc(-n2nccc2OCc2ccccc2)c1,1000.0,active
CHEMBL4225013,O=C(O)c1ccnc(-n2nccc2OCc2ccc(F)cc2)c1,100.0,active
CHEMBL4228781,O=C(O)c1ccnc(-n2nccc2OCc2cccc(F)c2)c1,10000.0,inactive
CHEMBL4290631,Cn1ncc2ccc(COc3ccnn3-c3cc(C(=O)O)ccn3)cc21,10000.0,inactive
CHEMBL4289229,O=C(O)c1ccnc(-n2nccc2OCc2ccc(F)c(F)c2)c1,100.0,active
CHEMBL3785832,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)cc2)c1,100.0,active
CHEMBL4228087,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)cc1,100.0,active
CHEMBL4227237,CCc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)cc1,100.0,active
CHEMBL4226978,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Br)cc2)c1,100.0,active
CHEMBL4283131,O=C(O)c1ccnc(-n2nccc2OCc2cccc(Cl)c2)c1,100.0,active
CHEMBL4277600,COC(=O)c1ccnc(-n2nccc2OCc2ccc(F)cc2)c1,1000.0,active
CHEMBL4278625,COC(=O)c1ccnc(-n2nccc2OCc2ccc(F)c(F)c2)c1,100.0,active
CHEMBL3786987,COC(=O)c1ccnc(-n2nccc2OCc2ccc(Cl)cc2)c1,100.0,active
CHEMBL4282732,O=C(O)c1ccnc(-n2nccc2OCC2CCC(F)(F)CC2)c1,1000.0,active
CHEMBL4288895,O=C(O)c1ccnc(-n2nccc2OCc2cccc(Br)c2)c1,1000.0,active
CHEMBL4280347,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)c(F)c2)c1,1000.0,active
CHEMBL4228546,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)cc2F)c1,1000.0,active
CHEMBL4284429,O=C(O)c1ccnc(-n2nccc2OCc2ccc(F)c(Cl)c2)c1,1000.0,active
